CxContactTimes,CxGoalMostImpCP4,CxGoalMostImpCP4[other],CxGoalAchieve,CxSenseBelongPre,CxSenseBelong,QSPS1[SQ1],QSPS1[SQ2],QSPS1[SQ3],QSPS1[SQ4],QSPS1[SQ5],SPSScore,CxSPS1,CxSenseBelongInd,CxSenseBelongDif,CxGoalAchievSum,QAgeN,CxGenderFMD,CxGenderFMD[other],CxTransgender,CxIdentity[CxBlack],CxIdentity[CxPOC],CxIdentity[CxFNIM],CxIdentity[CxLGBTQ],CxIdentity[CxPersonDisab],CxIdentity[CxFrancophone],CxIdentity[CxNA],CxIdentity[CxDK],CxIdentity[CxRF],QFSA,CxAgeOTF
A2,A5,,A3,A1,A2,A3,A3,RF,A3,A3,12,Mid,A1,A1   ,A3,57,F,,N,,,,,,,,,Y,M2m,A5
A3,-oth-,Talk to people n get connected,A5,A2,A3,A3,A3,RF,A4,A3,13,Mid,A2,A1   ,A1,,F,,,,,,,,,,,,L6Y,
A3,A5,,A4,A3,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,A1,72,F,,N,,,,,,,,Y,,M1B,A6
A3,A2,,A5,A4,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,68,F,,N,,,,,,,,Y,,L3S,A6
A1,A1,,,,A3,A3,A4,A3,A4,A4,18,High,A2,A2   ,RF,25,F,,N,,,,,,,Y,,,L6Y,A4
A1,A2,,,,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,RF,72,F,,,,,,,,,,,Y,,A6
A1,A3,,,,A3,,,,,,0,RF,A2,A2   ,RF,50,F,,N,,,,,,,Y,,,,A5
A1,A4,,,,A4,,,,,,0,RF,A2,A2   ,RF,,F,,,,,,,,,,,,L4E,
A2,A5,,A4,A3,A3,A3,RF,A3,A3,RF,9,Low,A2,A2   ,A1,55,F,,N,,,,,Y,,,,,564,A5
A3,-oth-,Very informative program,A5,A4,A4,A3,A3,A3,A3,A4,16,High,A2,A2   ,A1,78,F,,,,,,,,,,,,M1W,A6
A2,A5,,A4,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,65,F,,N,,Y,,,,,,,,,A6
A3,A5,,A5,A3,A4,A4,A4,A3,A4,A3,18,High,A2,A1   ,A1,66,F,,N,,,,,,,Y,,,L3S,A6
A3,A5,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,69,F,,N,,Y,,,,,,,,L4J,A6
A1,A3,,,,A1,,,,,,0,RF,A1,A2   ,RF,73,F,,N,,,,,,,Y,,,L7S,A6
A3,A5,,A5,A3,A4,A4,A3,A3,A3,A4,17,High,A2,A1   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A3,A3,A4,A3,A3,16,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A2,A5,,A4,A3,A4,A1,A3,A3,A3,A3,13,Mid,A2,A1   ,A1,65,F,,N,,,,,,,Y,,,,A6
A3,A5,,A5,A4,A4,A4,A4,A4,A4,A3,19,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A3,,A5,A2,A3,A3,A4,A3,A4,A4,18,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A2,A5,,A4,A2,A4,A3,A3,A4,A4,A4,18,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A1,A6,,,,A4,A4,A3,A3,A3,A4,17,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A3,A3,,A5,A3,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A2,A1,,A4,A2,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A3,A4,A4,A4,A4,A3,A4,19,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A1,A3,,,,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A1,A5,,,,A3,A4,A4,A3,A3,A4,18,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A2,A3,,A4,A2,A3,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A3,,A5,A2,A4,A4,A4,A4,A3,A4,19,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A3,,A4,A3,A4,A4,A4,A4,A3,A4,19,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A1,A2,,,,A3,A4,A4,A3,A3,A4,18,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A2,A1,,A3,A2,A3,A3,A4,A3,A3,A4,17,High,A2,A1   ,A3,,,,,,,,,,,,,,,
A1,A5,,,,A3,A3,A4,A3,A3,A3,16,High,A2,A2   ,RF,15,-oth-,Fluid-Masc(sometimes femme),Y,,,,,,Y,,,,n4g,A2
